"","Year","Date","DayOfWeek","HolidayName","Type"
"1260",2012,"Jan 16","Monday","Martin Luther King Jr. Day","Federal Holiday"
"4312",2012,"Feb 20","Monday","Presidents' Day","Federal Holiday"
"17712",2012,"May 28","Monday","Memorial Day","Federal Holiday"
"21512",2012,"Jul 4","Wednesday","Independence Day","Federal Holiday"
"25312",2012,"Sep 3","Monday","Labor Day","Federal Holiday"
"29611",2012,"Oct 8","Monday","Columbus Day","Federal Holiday"
"3346",2012,"Nov 11","Sunday","Veterans Day","Federal Holiday"
"3484",2012,"Nov 22","Thursday","Thanksgiving Day","Federal Holiday"
"3891",2012,"Dec 25","Tuesday","Christmas Day","Federal Holiday"
"3140",2013,"Jan 1","Tuesday","New Year's Day","Federal Holiday"
"1570",2013,"Jan 21","Monday","Martin Luther King Jr. Day","Federal Holiday"
"4713",2013,"Feb 18","Monday","Presidents' Day","Federal Holiday"
"18117",2013,"May 27","Monday","Memorial Day","Federal Holiday"
"21913",2013,"Jul 4","Thursday","Independence Day","Federal Holiday"
"25613",2013,"Sep 2","Monday","Labor Day","Federal Holiday"
"31114",2013,"Oct 14","Monday","Columbus Day","Federal Holiday"
"3405",2013,"Nov 11","Monday","Veterans Day","Federal Holiday"
"3555",2013,"Nov 28","Thursday","Thanksgiving Day","Federal Holiday"
"3951",2013,"Dec 25","Wednesday","Christmas Day","Federal Holiday"
"3160",2014,"Jan 1","Wednesday","New Year's Day","Federal Holiday"
"1680",2014,"Jan 20","Monday","Martin Luther King Jr. Day","Federal Holiday"
"4414",2014,"Feb 17","Monday","Presidents' Day","Federal Holiday"
"18314",2014,"May 26","Monday","Memorial Day","Federal Holiday"
"22814",2014,"Jul 4","Friday","Independence Day","Federal Holiday"
"26714",2014,"Sep 1","Monday","Labor Day","Federal Holiday"
"32010",2014,"Oct 13","Monday","Columbus Day","Federal Holiday"
"3566",2014,"Nov 11","Tuesday","Veterans Day","Federal Holiday"
"3704",2014,"Nov 27","Thursday","Thanksgiving Day","Federal Holiday"
"4091",2014,"Dec 25","Thursday","Christmas Day","Federal Holiday"
"3180",2015,"Jan 1","Thursday","New Year's Day","Federal Holiday"
"1390",2015,"Jan 19","Monday","Martin Luther King Jr. Day","Federal Holiday"
"4415",2015,"Feb 16","Monday","Presidents' Day","Federal Holiday"
"18815",2015,"May 25","Monday","Memorial Day","Federal Holiday"
"23217",2015,"Jul 3","Friday","Independence Day observed","Federal Holiday"
"23415",2015,"Jul 4","Saturday","Independence Day","Federal Holiday"
"27415",2015,"Sep 7","Monday","Labor Day","Federal Holiday"
"32510",2015,"Oct 12","Monday","Columbus Day","Federal Holiday"
"3626",2015,"Nov 11","Wednesday","Veterans Day","Federal Holiday"
"3765",2015,"Nov 26","Thursday","Thanksgiving Day","Federal Holiday"
"4181",2015,"Dec 25","Friday","Christmas Day","Federal Holiday"
"3200",2016,"Jan 1","Friday","New Year's Day","Federal Holiday"
"12100",2016,"Jan 18","Monday","Martin Luther King Jr. Day","Federal Holiday"
"4516",2016,"Feb 15","Monday","Presidents' Day","Federal Holiday"
"19616",2016,"May 30","Monday","Memorial Day","Federal Holiday"
"23916",2016,"Jul 4","Monday","Independence Day","Federal Holiday"
"27916",2016,"Sep 5","Monday","Labor Day","Federal Holiday"
"32511",2016,"Oct 10","Monday","Columbus Day","Federal Holiday"
"3667",2016,"Nov 11","Friday","Veterans Day","Federal Holiday"
"3786",2016,"Nov 24","Thursday","Thanksgiving Day","Federal Holiday"
"42110",2016,"Dec 25","Sunday","Christmas Day","Federal Holiday"
"4232",2016,"Dec 26","Monday","Christmas Day observed","Federal Holiday"
"4104",2017,"Jan 1","Sunday","New Year's Day","Federal Holiday"
"5101",2017,"Jan 2","Monday","New Year's Day observed","Federal Holiday"
"15101",2017,"Jan 16","Monday","Martin Luther King Jr. Day","Federal Holiday"
"4917",2017,"Feb 20","Monday","Presidents' Day","Federal Holiday"
"19417",2017,"May 29","Monday","Memorial Day","Federal Holiday"
"24219",2017,"Jul 4","Tuesday","Independence Day","Federal Holiday"
"28017",2017,"Sep 4","Monday","Labor Day","Federal Holiday"
"32911",2017,"Oct 9","Monday","Columbus Day","Federal Holiday"
"3688",2017,"Nov 10","Friday","Veterans Day observed","Federal Holiday"
"3697",2017,"Nov 11","Saturday","Veterans Day","Federal Holiday"
"38112",2017,"Nov 23","Thursday","Thanksgiving Day","Federal Holiday"
"4233",2017,"Dec 25","Monday","Christmas Day","Federal Holiday"
