"","id","original_title","genres","release_date","revenue","budget","runtime","animation","comedy","family","adventure","fantasy","drama","romance","action","crime","thriller","history","mystery","music","horror","war","documentary","western","scifi"
"89","2086","nickoftime","[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]","1995-11-22",8175346,"8169363",90,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
"91","9095","maryreilly","[{'id': 18, 'name': 'Drama'}, {'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}, {'id': 10749, 'name': 'Romance'}]","1996-02-23",12379402,"47000000",104,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0
"92","12158","vampireinbrooklyn","[{'id': 35, 'name': 'Comedy'}, {'id': 27, 'name': 'Horror'}, {'id': 10749, 'name': 'Romance'}]","1995-10-26",19800000,"14000000",100,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"94","9208","brokenarrow","[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]","1996-02-09",150270147,"50000000",108,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0
"100","13685","bottlerocket","[{'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]","1996-02-21",560069,"7000000",91,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"103","9614","happygilmore","[{'id': 35, 'name': 'Comedy'}]","1996-02-16",41205099,"12000000",92,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"104","688","thebridgesofmadisoncounty","[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]","1995-05-28",182016617,"24000000",135,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"106","10874","muppettreasureisland","[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 10402, 'name': 'Music'}, {'id': 10751, 'name': 'Family'}, {'id': 12, 'name': 'Adventure'}]","1996-02-16",34327391,"0",100,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
"109","197","braveheart","[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}, {'id': 10752, 'name': 'War'}]","1995-05-24",2.1e+08,"72000000",177,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0
"110","103","taxidriver","[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]","1976-02-07",28262574,"1300000",114,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"111","33542","ÁÖÁïÂçÄ","[{'id': 80, 'name': 'Crime'}, {'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 53, 'name': 'Thriller'}]","1995-01-30",32392047,"7500000",91,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
"115","51352","annefrankremembered","[{'id': 99, 'name': 'Documentary'}, {'id': 18, 'name': 'Drama'}, {'id': 10769, 'name': 'Foreign'}]","1995-06-08",1,"0",117,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
"118","78406","stealbigsteallittle","[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]","1995-09-29",6278139,"25000000",113,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"121","11066","boomerang","[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]","1992-06-30",70100000,"40000000",117,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"124","2074","flirtingwithdisaster","[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]","1996-03-22",14702438,"7000000",92,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"131","11863","jade","[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 9648, 'name': 'Mystery'}, {'id': 10749, 'name': 'Romance'}]","1995-10-13",9851610,"50000000",95,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0
"136","5757","manoftheyear","[{'id': 35, 'name': 'Comedy'}]","1995-09-15",209935,"0",86,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"140","11000","thebirdcage","[{'id': 35, 'name': 'Comedy'}]","1996-03-08",185260553,"31000000",117,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"143","9737","badboys","[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]","1995-04-07",141407024,"19000000",118,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
