"","Actor","Director","id"
"10792","thora birch","rosemary rodriguez",56968
"10793","salman khan","satish kaushik",56969
"10794","claudio bisio","enrico oldoini",56971
"10795","fabio volo","cristina comencini",56974
"10796","massimo troisi","massimo troisi",56975
"10797","anthony quayle","luigi comencini",56978
"10798","ilaria occhini","federico bondi",56992
"10799","antonio albanese","pupi avati",56994
"10800","adam busch","john lands",56997
"10801","michael d coe","david lebrun",57000
"10802","ray chang","leste chen",57005
"10803","malerie grady","dennis devine",57008
"10804","alan king","john sayles",57022
"10805","peter brown","peter brown",57088
"10806","hayden panettiere","mike disa",57089
"10807","kathleen o rourke","nicky phelan",57091
"10808","marc lavoine","tony gatlif",57106
"10809","nanni moretti","daniele luchetti",57110
"10810","aldo baglio","massimo venier",57112
"10811","eva braun","philippe mora",57124
"10812",NA,"kary antholis",57130
"10813","louis de funès","jean girault",57144
"10814","jason london","todor chapkanov",57173
"10815","nikola rakocevic","stevan filipovic",57186
"10816","billy zane","michael d sellers",57190
"10817","johnny depp","gore verbinski",57201
"10818","michael shanks","tibor takács",57203
"10819","michael keaton","robert mandel",57204
"10820","anton shagin","vardan hakobyan",57207
"10821","ilya lyubimov","roman karimov",57209
"10822","chandler canterbury","tim mccanlies",57210
"10823","ken kesey","alex gibney",57211
"10824","vlado jovanovski","darko mitrevski",57218
"10825","roy scheider","john terlesky",57219
"10826","leonid kuravlyov","georgiy kropachyov",57230
"10827","peter stormare","brad t gottfred",57248
"10828","carlo delle piane","ken loach",57251
"10829","jens albinus","nils malmros",57256
"10830","kirk douglas","andré de toth",57258
"10831","ashleigh ball","davis doi",57277
"10832","michal zebrowski","marek brodzki",57278
"10833","lee brilleaux","julien temple",57296
"10834","jenny karezi","dinos dimopoulos",57305
"10835","frédéric diefenthal","corentin julius",57307
"10836","patrick bruel","patrick schulmann",57308
"10837","marcello mastroianni","luigi comencini",57310
"10838","jane birkin","benoît pétré",57311
"10839","david keith","james d r hickox",57326
"10840","brigitte roüan","brigitte roüan",57327
"10841","tomer sisley","jérôme salle",57331
"10842","marc ghannoum","vikram jayanti",57337
"10843","diego abatantuono","gabriele salvatores",57342
"10844","carly pope","douglas barr",57343
"10845","blythe danner","ken burns",57346
"10846","anthony treach criss","ben ramsey",57351
"10847","christopher mcdonald","john stockwell",57353
"10848","ramzy bedia","rachid dhibou",57382
"10849","kristin scott thomas","lola doillon",57387
"10850","eriya ndayambaje","debs gardner paterson",57393
"10851","yu oh seong","kwak kyung taek",57394
"10852","mark ivanir","eran riklis",57400
"10853","leonard cohen","lian lunson",57406
"10854","joan baez","brigitte berman",57409
"10855","neri marcorè","pupi avati",57424
"10856","alessio boni","marco tullio giordana",57425
"10857","jørgen leth","jørgen leth",57436
"10858","linus aaberg","liv ullmann",57438
"10859","kuranosuke sasaki","kenji uchida",57440
"10860","lino capolicchio","pupi avati",57447
"10861","pierre bergé","pierre thoretton",57448
"10862","kumgieng jittamaat","apichatpong weerasethakul",57458
"10863","mark mothersbaugh","lucas reiner",57476
"10864","matthew modine","john kent harrison",57479
"10865","marshall r teague","isaac florentine",57483
"10866","max von sydow","maria lindberg",57500
"10867","woody harrelson","pete mcgrain",57510
"10868","francesc colomer","agustí villaronga",57521
"10869","diana garrigosa","carles bosch",57536
"10870","peter strauss","michael mann",57537
"10871","santiago segura","álex de la iglesia",57544
"10872","robert gustafsson","christjan wegner",57548
"10873","timothy spall","danny boyle",57558
"10874","catherine belkhodja","chris marker",57563
"10875","chen chao jung","tsai ming liang",57564
"10876","michael palin","malcolm mowbray",57565
"10877","craig ferguson","keith truesdell",57573
"10878","anthony quinn","j lee thompson",57578
"10879","samuel l jackson","alastair fothergill",57586
"10880","j marvin campbell","harry bromley davenport",57597
"10881",NA,"harmony korine",57622
"10882","mario maurer","puttipong pormsaka na sakonnakorn",57627
"10883","michael biehn","henry pincus",57655
"10884","ridley scott","charles de lauzirika",57656
"10885","vivien leigh","ian dalrymple",57662
"10886","paul stevens","julian roffman",57665
"10887","omar sharif","sidney lumet",57666
"10888","sidney poitier","gregg champion",57680
"10889","ekaterina vilkova","natalya uglitskikh",57701
"10890","yoshirô aoki","hideo gosha",57706
"10891","noémie godin vigneau","jean beaudin",57709
"10892","valeria golino","valerio jalongo",57713
"10893","carole bouquet","brigitte roüan",57714
"10894","will ferrell","simon j smith",57718
"10895",NA,"d a pennebaker",57722
"10896","albert dupontel","michel deville",57726
"10897","diana kaarina","william lau",57737
"10898","annette o toole","armyan bernstein",57738
"10899","özcan deniz","özcan deniz",57739
"10900","meredith salenger","pen densham",57744
"10901","douglas henshall","peter mullan",57745
"10902","tabrett bethell","james rabbitts",57749
"10903","vladislav dvorzhetsky","albert s mkrtchyan",57757
"10904","carice van houten","willem van de sande bakhuyzen",57768
"10905","vladimir tolokonnikov","pyotr tochilin",57775
"10906","dmitriy kharatyan","leonid gayday",57776
"10907","semyon strugachyov","stanislav mareev",57779
"10908","lyudmila gurchenko","eldar ryazanov",57781
"10909","mary kate olsen","stuart margolin",57789
"10910","ivan urgant","timur bekmambetov",57809
"10911","fernanda torres","walter salles",57811
"10912","rachel miner","jason connery",57812
"10913","lim kay tong","djinn",57813
"10914","matthew géczy","nicolas alberny",57816
"10915","aishwarya rai bachchan","gurinder chadha",57825
"10916","jessica lange","tony richardson",57834
"10917","george carlin","marty callner",57837
"10918","olivier gruner","jon hess",57843
"10919","mircea albulescu","jack ersgard",57845
"10920","ron brown","winston hibler",57855
"10921","kim young ho","hong sang soo",57859
"10922","cicely tyson","john korty",57868
"10923","tony leung ka fai","eric tsang",57880
"10924","garik kharlamov","kirill kuzin",57889
"10925","yilmaz erdogan","yilmaz erdogan",57892
"10926","osvald helmuth","bent christensen",57911
"10927","gian maria volonté","luigi comencini",57914
"10928","steffen mennekes","uwe boll",57924
"10929","campbell scott","dan curtis",57943
"10930","troy hurtubise","peter lynch",57953
"10931",NA,"howard smith",57954
"10932","luca capriotti","cristiano bortone",57965
"10933","nanni moretti","nanni moretti",57967
"10934",NA,"joão jardim",57979
"10935",NA,"martin rejtman",57981
"10936","petr kostka","karel zeman",57983
"10937","vittorio de sica","luigi comencini",57991
"10938","jean marc barr","olivier megaton",57992
"10939","totò","mario mattoli",57996
"10940","alberto sordi","alberto sordi",57999
"10941","totò","mario mattoli",58007
"10942","stan laurel","hal roach",58012
"10943",NA,"johan grimonprez",58032
"10944","karin viard","cédric klapisch",58043
"10945","madonna","jim goddard",58048
"10946","akshay kumar","sajid khan",58051
"10947","vanessa paradis","jean becker",58058
"10948","toni servillo","andrea molaioli",58060
"10949","judi dench","mark jonathan harris",58062
"10950","kim sang kyung","jihun kim",58069
"10951","totò","camillo mastrocinque",58074
"10952","uma thurman","anthony page",58075
"10953","luc merenda","sergio martino",58080
"10954","carlo verdone","carlo verdone",58081
"10955","kathleen turner","peter del monte",58084
"10956","elio germano","daniele vicari",58086
"10957","giorgio colangeli","ettore scola",58089
"10958","daniel franzese","robert englund",58096
"10959","ana belén","vicente aranda",58097
"10960","enrico lo verso","gianni amelio",58098
"10961","helen mirren","terry george",58102
"10962","dina meyer","neill fearnley",58106
"10963","aamir khan","rajkumar santoshi",58128
"10964","victor sjöström","victor sjöström",58129
"10965","benoît magimel","michel houellebecq",58133
"10966","alicia vikander","lisa langseth",58156
"10967","gayne whitman","david hand",58160
"10968","daniel brühl","sebastian grobler",58166
"10969","carlo verdone","carlo verdone",58189
"10970","adriano celentano","enrico oldoini",58191
"10971","lionel barrymore","ernst lubitsch",58192
"10972","nick thurston","john gray",58194
"10973","dana delany","alejandro chomski",58197
"10974","sergio castellitto","sergio castellitto",58204
"10975","felicity jones","phil traill",58232
"10976","deborah secco","marcus baldini",58235
"10977","famke janssen","jean paul salomé",58258
"10978","tom abate","robert barry ptolemy",58261
"10979",NA,"leonard retel helmrich",58287
"10980",NA,"anthony wonke",58291
"10981","fyodor lavrov","nikolay khomeriki",58296
"10982","bianca butthole","anthony scarpa",58301
"10983","sanjay dutt","anubhav sinha",58302
"10984","arié elmaleh","eric rochant",58309
"10985","anita mui","johnnie to",58311
"10986","bai jing","joe cheung tung cho",58368
"10987",NA,"roberto hernández",58376
"10988","rebecka hemse","mikael håfström",58384
"10989","kari heiskanen","mika kaurismäki",58391
"10990","samira maas","mijke de jong",58396
"10991","luca argentero","luca lucini",58400
"10992","henry silva","fernando di leo",58402
"10993","nino manfredi","dino risi",58404
"10994","yurei yanagi","hideo nakata",58405
"10995","eugene levy","ivan reitman",58411
"10996","andy lau","wong jing",58414
"10997","kati outinen","aki kaurismäki",58416
"10998","al cliver","joe d amato",58419
"10999","bill pullman","yves simoneau",58421
"11000","eric thal","nicolas roeg",58427
"11001","ben cross","roger young",58430
"11002","burt lancaster","daniel petrie",58434
"11003","sharni vinson","mike elliott",58443
"11004","aytekin akkaya","t fikret uçak",58447
"11005","steve austin","anne wheeler",58448
"11006","marianna raschillà","susanna nicchiarelli",58450
"11007","luciano ligabue","piergiorgio gay",58453
"11008","kyra sedgwick","kevin bacon",58462
"11009","dominique swain","jonathan kahn",58467
"11010","alastair sim","robert day",58470
"11011","mark harmon","david greene",58473
"11012","dominique farrugia","dominique farrugia",58487
"11013","morgan spurlock","morgan spurlock",58492
"11014",NA,"jennifer arnold",58493
"11015","daniel tosh","beth mccarthy miller",58494
"11016","eduardo verástegui","joshua weigel",58500
"11017","gustav hofer","gustav hofer",58511
"11018","tim minchin","shaun tan",58515
"11019","branco mello","branco mello",58517
"11020","stefano accorsi","lucio pellegrini",58518
"11021","francesco pannofino","giacomo ciarrapico",58522
"11022",NA,"ascanio celestini",58525
"11023","marcello mastroianni","ettore scola",58526
"11024","felícián keresztes","benedek fliegauf",58529
"11025","mishel manoku","francesco munzi",58531
"11026","maki horikita","hans canosa",58550
"11027","zbigniew rola","marek koterski",58553
"11028","lau ching wan","johnnie to",58570
"11029","tristán ulloa","jacobo rispa",58587
"11030","giacomo talamini","giacomo talamini",58589
"11031","mary louise parker","gregg champion",58591
"11032","dick eklund","maryann deleo",58607
"11033","paolo villaggio","sergio corbucci",58613
"11034","renato pozzetto","maurizio ponzi",58615
"11035","ray liotta","chris fisher",58625
"11036","matthew modine","udayan prasad",58646
"11037","jacques tati","jacques tati",58655
"11038","masanobu ando","wuershan",58679
"11039","jada pinkett smith","daisy von scherler mayer",58680
"11040","aleksey chadov","jürgen staal",58692
"11041","son ye jin","seong kang lee",58700
"11042","totò","steno",58701
"11043","nino manfredi","nino manfredi",58702
"11044","silvio orlando","daniele luchetti",58703
"11045","susumu ishikawa","kimio yabuki",58704
"11046","eoin macken","andrew hull",58718
"11047","chelsea hobbs","grant harvey",58720
"11048","sachin khedekar","shyam benegal",58725
"11049","marian brock","luke matheny",58763
"11050","jussi vatanen","dome karukoski",58764
"11051","alexander beyer","yael hersonski",58772
"11052","diego abatantuono","gabriele salvatores",58773
"11053","dominique reymond","sandrine veysset",58777
"11054","alexandra holden","michael feifer",58782
"11055","robert carradine","george t miller",58788
"11056","kristina klebe","mike nichols",58792
"11057","andreas abegglen","louise osmond",58820
"11058","gloria blondell","jack kinney",58828
"11059","trenton rogers","douglas horn",58832
"11060","coluche","claude berri",58833
"11061","koji yakusho","takashi miike",58857
"11062","franck dubosc","dominique farrugia",58858
"11063","nikos kalogeropoulos","nikos perakis",58865
"11064",NA,"renzo martens",58877
"11065","christopher thornton","mark ruffalo",58884
"11066","josse de pauw","dominique deruddere",58886
"11067","rahul rai","nayan padrai",58887
"11068","robyn","david dworsky",58891
"11069","victoria pratt","holly dale",58895
"11070","eric larson","charles philip moore",58899
"11071","jasper steverlinck","ben stassen",58904
"11072","85848","cecil b demille",58905
"11073","darleen asevedo","spike lee",58923
"11074","grégori derangère","gabriel le bomin",58928
"11075","joo jin mo","song hae sung",58959
"11076","illeana douglas","allison anders",58985
"11077","gene wilder","waris hussein",59005
"11078","carla gugino","sebastian gutierrez",59006
"11079","carlo verdone","carlo verdone",59040
"11080","rosanna schiaffino","jean luc godard",59045
"11081","sergio rubini","alessandro piva",59046
"11082","roberto benigni","federico fellini",59050
"11083","monica bellucci","francesco laudadio",59053
"11084","robert carlyle","ken loach",59058
"11085","rachel ward","ken cameron",59066
"11086","bekim fehmiu","aleksandar petrovic",59088
"11087","james d arcy","stuart urban",59095
"11088","gabrielle drake","val guest",59098
"11089","brian wilson","david leaf",59100
"11090","vincent price","albert zugsmith",59101
"11091","santiago segura","santiago segura",59117
"11092","emily baldoni","roel reiné",59120
"11093","jon heder","jared hess",59122
"11094","the holy modal rounders","paul lovelace",59126
"11095","karlheinz stockhausen","iara lee",59138
"11096","june allyson","dick powell",59142
"11097","vincent elbaz","julien leclercq",59145
"11098","gu bao ming","huang jianxin",59146
"11099","nino manfredi","giuliano montaldo",59156
"11100","bela lugosi","edwin l marin",59158
"11101","edward woodward","don sharp",59159
"11102","alain chabat","maurice barthélemy",59163
"11103","emma samms","john hough",59171
"11104","alan bennett","dave unwin",59178
"11105","michael murphy","saul bass",59189
"11106",NA,"jon shenk",59196
"11107","julianne moore","bart freundlich",59199
"11108","charles bronson","j lee thompson",59201
"11109","anne reid","roger michell",59210
"11110","gian maria volonté","francesco rosi",59230
"11111","james caan","francis ford coppola",59231
"11112","emilio estevez","emilio estevez",59232
"11113","claudio amendola","ricky tognazzi",59241
"11114","liam neeson","anthony geffen",59248
"11115","michael ostrowski","andreas prochaska",59255
"11116","silvio berlusconi","roberto faenza",59264
"11117","christine bottomley","clio barnard",59266
"11118","charles shaughnessy","fred olen ray",59290
"11119","aya ueto","masayuki kojima",59298
"11120","emily haack","eric stanze",59317
"11121","scott storm","paul osborne",59333
"11122","richard bohringer","jean loup hubert",59349
"11123",NA,"stephen quay",59354
"11124",NA,"stephen quay",59356
"11125",NA,"stephen quay",59357
"11126",NA,"timothy quay",59358
"11127","lucky ali","tanuja chandra",59372
"11128","audie murphy","john huston",59401
"11129","david chiang","liu chia liang",59402
"11130","alexander lo rei","lee tso nam",59404
"11131","noam chomsky","scott noble",59406
"11132","george harrison","saul swimmer",59414
"11133","kim mi sook","chung yoon chul",59423
"11134","sergei belyayev","yury bykov",59426
"11135","aoi nakamura","toshikazu nagae",59429
"11136","rachael harris","robbie pickering",59439
"11137","jaycee chan","derek yee tung sing",59444
"11138","daniel auteuil","édouard molinaro",59455
"11139","sofiko chiaureli","alla surikova",59475
"11140","paule baillargeon","denis villeneuve",59482
"11141","louis koo","vincent kok",59499
"11142","marina foïs","antony cordier",59507
"11143","ian mckellen","stephen frears",59517
"11144","oleg menshikov","filipp yankovsky",59529
"11145","rowan atkinson","julien temple",59533
"11146","peter lorre","norman foster",59566
"11147","paola cortellesi","massimiliano bruno",59570
"11148","buster keaton","kevin brownlow",59572
"11149","michaël cohen","michaël cohen",59582
"11150","peter lorre","james tinling",59584
"11151",NA,"patrick jean",59596
"11152","steven weber","martha coolidge",59700
"11153","boris karloff","william nigh",59701
"11154","rupert graves","charles sturridge",59704
"11155","cotter smith","armand mastroianni",59735
"11156","julia montgomery","robert deubel",59738
"11157","jennifer rubin","andrew fleming",59797
"11158","stepan bubnov","roman davydov",59803
"11159","lauren german","elizabeth harrison",59807
"11160","paul williams","mark steensland",59839
"11161","sammo hung","sammo hung",59843
"11162","sabine azéma","alain resnais",59847
"11163","max records","ruairi robinson",59852
"11164","diego abatantuono","carlo mazzacurati",59853
"11165","carlos echeverría","marco bechis",59858
"11166","aaron taylor johnson","jeff wadlow",59859
"11167","laura gemser","mario bianchi",59871
"11168","lynn carlin","miloš forman",59881
"11169","danny glover","ryan little",59883
"11170","petr meissel","jan švankmajer",59892
"11171","lynn holly johnson","hy averback",59897
"11172","emraan hashmi","hasnain hyderabadwala",59904
"11173","touko laaksonen","ilppo pohjola",59908
"11174","mickey hargitay","renato polselli",59912
"11175","vahina giocante","manuel pradal",59914
"11176","matthew lillard","drake doremus",59928
"11177","larenz tate","matty rich",59930
"11178","navíd akhavan","arash t riahi",59935
"11179","molly gross","kristine peterson",59939
"11180","kristy swanson","kari skogland",59940
"11181","mikako tabe","naoto kumazawa",59944
"11182","françoise rosay","marcel carné",59950
"11183","bill nighy","stephen poliakoff",59958
"11184","coluche","coluche",59959
"11185","halle berry","john stockwell",59963
"11186","glenn gould","michèle hozer",59974
"11187","lea michele","dan st pierre",59981
"11188","malcolm stumpf","cam archer",59995
"11189","jodi lyn o keefe","marc s grenier",60003
"11190","bob hoskins","jean pierre marois",60005
"11191","carlo verdone","carlo verdone",60014
"11192","ugo tognazzi","pupi avati",60018
"11193","jules sitruk","richard berry",60025
"11194",NA,"daniel snyder",60035
"11195","alberto sordi","alberto sordi",60038
"11196","21245","michael radford",60041
"11197","alberto sordi","luigi zampa",60046
"11198","eduardo de filippo","eduardo de filippo",60061
"11199","jools topp","leanne pooley",60063
"11200","anfisa chekhova","vadim shmelyov",60068
"11201",NA,"david stenn",60076
"11202","michael paré","boaz davidson",60079
"11203","martin sheen","daniel junge",60080
"11204","tisha campbell martin","rusty cundieff",60082
"11205","gad elmaleh","merzak allouache",60083
"11206","sarah thompson","jonas barnes",60086
"11207","timothy brown","al adamson",60087
"11208","vittorio de sica","vittorio de sica",60116
"11209","natasha henstridge","darrell james roodt",60119
"11210","pau nubiola","sergio caballero",60120
"11211","ross kettle","yossi wein",60139
"11212","kay francis","william nigh",60140
"11213","jacek borusinski","jacek borusinski",60153
"11214","ryo tomioka","ryuta tazaki",60160
"11215","hiro mizushima","yukihiko tsutsumi",60163
"11216","blanka copikova","albert pyun",60173
"11217","6012","claude zidi",60175
"11218","alain delon","jacques deray",60181
"11219","luigi diberti","pupi avati",60191
"11220","peppino de filippo","mauro bolognini",60193
"11221","pierre richard","gérard oury",60194
"11222","alberto sordi","giorgio bianchi",60195
"11223","clark heathcliffe brolly","david lynch",60199
"11224","dolores del río","emilio fernández",60225
"11225","nejat Isler","tolga örnek",60228
"11226","aleksey makarov","evgeny lavrentiev",60236
"11227","john schneider","carey scott",60238
"11228","judit pogány","béla tarr",60261
"11229","jacqueline bisset","paul bartel",60276
"11230","zhou xun","fruit chan",60278
"11231","tamás szabó kimmel","gergely fonyó",60279
"11232","william holden","edward dmytryk",60285
"11233","robert powell","don sharp",60287
"11234","william hanna","scott jeralds",60293
"11235","denise richards","k asher levin",60302
"11236","jeremy renner","tommy wirkola",60304
"11237","bob bancroft","michael a pierce",60306
"11238","zachary gordon","david bowers",60307
"11239",NA,"frederick wiseman",60315
"11240","ludvík sváb","jan švankmajer",60316
"11241","margi clarke","chris bernard",60363
"11242","sakari kuosmanen","aki kaurismäki",60375
"11243","pierre mondy","joachim fest",60378
"11244","rajesh khanna","hrishikesh mukherjee",60389
"11245","farooq shaikh","sai paranjape",60392
"11246","philip kwok chun fung","chang cheh",60415
"11247","ellen barkin","sam levinson",60422
"11248","jean louis trintignant","michel deville",60430
"11249",NA,"alexandru solomon",60434
"11250","warren beatty","robert rossen",60437
"11251","jeffrey azize","charles kinnane",60440
"11252","lindsay shaw","john cregan",60447
"11253","michael jace","alan metzger",60457
"11254","dolph lundgren","sheldon lettich",60489
"11255","rutger hauer","mario philip azzopardi",60504
"11256","rutger hauer","geoff murphy",60505
"11257","mathieu amalric","nicolas klotz",60531
"11258","audie murphy","budd boetticher",60539
"11259","danny trejo","kern saxton",60540
"11260","joel mccrea","andré de toth",60541
"11261","randolph scott","ray enright",60542
"11262","audie murphy","don siegel",60547
"11263","maureen o hara","george sherman",60551
"11264","madhabi mukherjee","satyajit ray",60567
"11265","farrah fawcett","robert greenwald",60573
"11266","ruta gedmintas","patrik syversen",60575
"11267","mel gibson","ian barry",60591
"11268","richard gere","nicholas jarecki",60599
"11269","yui aragaki","nobuhiro doi",60604
"11270","michel bouquet","anne fontaine",60608
"11271","nathan cogan","sam garbarski",60616
"11272","sabine azéma","alain resnais",60623
"11273","dolly parton","henry winkler",60629
"11274","chang yi","peng yi chang",60639
"11275","glenn ford","rudolph maté",60643
"11276","rob tyner","david c thomas",60645
"11277","clotilde courau","philippe claudel",60650
"11278","kirsten dunst","sam pillsbury",60662
"11279","josie davis","douglas jackson",60664
"11280","jean reno","mathieu kassovitz",60670
"11281","wesley willis","daniel bitton",60676
"11282","anneli sauli","saara cantell",60677
"11283","katja küttner","arto halonen",60678
"11284","mariana vargas","juan carlos valdivia",60708
"11285","ashok kumar","hrishikesh mukherjee",60730
"11286","chris hemsworth","dan bradley",60747
"11287","michael craig","sidney hayers",60759
"11288","stef aerts","hans van nuffel",60775
"11289","oscar van rompay","jaap van heusden",60784
"11290","annie liu","pang ho cheung",60785
"11291","alfredo landa","josé luis garci",60794
"11292","miklós benedek","béla ternovszky",60800
"11293","ravi teja","surender reddy",60807
"11294","anna fischer","marc rothemund",60809
"11295","adriano celentano","adriano celentano",60810
"11296","jean marie de busscher","marc caro",60813
"11297","jean françois stévenin","patrick bouchitey",60824
"11298","kelsey grammer","craig zisk",60825
"11299","darris love","adam ripp",60828
"11300","sam elliott","richard compton",60836
"11301","yo oizumi","kitarou kousaka",60843
"11302","sandra oh","mina shum",60855
"11303","yves montand","costa gavras",60859
"11304","mandaugas papinigis","emilis velyvis",60867
"11305","emily vancamp","jeff bleckner",60895
"11306","trenton rogers","andrew beall",60897
"11307","eva dahlbeck","ingmar bergman",60899
"11308","helen mirren","julian jarrold",60917
"11309","emil horváth","karel zeman",60948
"11310","ben daniels","lavinia currier",60951
"11311","paul preiss","john stecenko",60965
"11312","michitaro mizushima","seijun suzuki",60971
"11313",NA,"rick rowley",60976
"11314","ana belén","vicente aranda",60985
"11315",NA,"markku tuurna",60993
"11316","sarah polley","audrey wells",60994
"11317","dirk bogarde","j lee thompson",61002
"11318","rachel hunter","marc gracie",61008
"11319","tom tyler","john english",61020
"11320",NA,"miki mistrati",61025
"11321","daniel london","habib azar",61033
"11322","aimee garcia","carmen marron",61038
"11323","shirley maclaine","vittorio de sica",61041
"11324","claudette colbert","anatole litvak",61046
"11325","ted danson","dan curtis",61050
"11326","dennis hopper","paul goldman",61052
"11327","karen black","tony randel",61054
"11328","esa pakarinen","armand lohikoski",61070
"11329","james macdonald","jack hannah",61080
"11330",NA,"paul seydor",61086
"11331","william holden","william dieterle",61095
"11332","axel naglich","gerald salmina",61104
"11333","natalie uher","bruno zincone",61108
"11334","2896","rené clair",61109
"11335","romany malco","jesse peretz",61112
"11336","rodney dangerfield","harry basil",61113
"11337","james karen","mark griffiths",61117
"11338","antti reini","lauri törhönen",61123
"11339","antti reini","anders engström",61125
"11340","andrey merzlikin","pyotr buslov",61139
"11341","faye dunaway","david beaird",61144
"11342","errol flynn","james v kern",61151
"11343","lara flynn boyle","david schwimmer",61168
"11344","jeff bridges","robert benton",61178
"11345","vanness wu","daniel lee",61187
"11346","robert clarke","edgar g ulmer",61194
"11347","ray kurzweil","mark wexler",61198
"11348","sendhil ramamurthy","krishna d k",61203
"11349","sergio assisi","lina wertmüller",61208
"11350","raoul bova","pupi avati",61217
"11351","murray hamilton","william castle",61221
"11352","isabelle huppert","ursula meier",61222
"11353","john goodman","arthur hiller",61225
"11354","david carradine","douglas schulze",61233
"11355","james coburn","tonino valerii",61237
"11356","dylan mcdermott","charles finch",61265
"11357","anil kapoor","n chandra",61271
"11358","vladimir zelenskiy","sarik andreasyan",61293
"11359","mischa barton","roland joffé",61294
"11360","jean paul belmondo","alain resnais",61296
"11361","olivier espitalier noel","peter watkins",61302
"11362","renato pozzetto","neri parenti",61303
"11363","andy nyman","jake west",61312
"11364","jan werich","vlasta pospíšilová",61313
"11365","vincenzo salemme","vincenzo salemme",61314
"11366","jan werich","vlasta pospíšilová",61320
"11367",NA,"jim hanon",61340
"11368","jennifer love hewitt","darnell martin",61348
"11369","joan crawford","lewis milestone",61369
"11370","colin quinn","jerry seinfeld",61372
"11371","mario lópez","steven hilliard stern",61382
"11372","georgiy deliev","kira muratova",61385
"11373",NA,"tom piozet",61401
"11374","omar sharif","richard fleischer",61411
"11375","woody allen","jean luc godard",61415
"11376","eric stoltz","neal jimenez",61418
"11377","gene raymond","budd boetticher",61431
"11378","carole landis","otto brower",61436
"11379","emilio cigoli","vittorio de sica",61461
"11380","mario adorf","fernando di leo",61462
"11381","vittorio de sica","vittorio de sica",61464
"11382","alex d linz","sean mcnamara",61473
"11383","ryô ikebe","masahiro shinoda",61475
"11384","rodney bingenheimer","george hickenlooper",61487
"11385","dave grohl","james moll",61488
"11386","esa saario","mauri kunnas",61495
"11387","dagmara dominczyk","joseph infantolino",61527
"11388","colin firth","dominic savage",61528
"11389","laura harris","andrew c erin",61533
"11390","rob lowe","tom clegg",61535
"11391","walter matthau","herb gardner",61536
"11392","bruce campbell","jeffrey donovan",61537
"11393","ray milland","flavio mogherini",61540
"11394","patrick huard","daniel roby",61542
"11395","oren rehany","eitan gorlin",61545
"11396","erik von detten","larry peerce",61550
"11397","lavinia wilson","christoph stark",61552
"11398","sabine azéma","alain resnais",61560
"11399","robby benson","arthur barron",61574
"11400","summer phoenix","arnaud desplechin",61578
"11401","magdalena berus","katarzyna roslaniec",61580
"11402","josh hopkins","ben hickernell",61629
"11403","ruggero raimondi","joseph losey",61638
"11404","jennifer hetrick","lloyd kaufman",61644
"11405","deanna durbin","henry koster",61645
"11406","deanna durbin","henry koster",61647
"11407","rebecca de mornay","roger vadim",61651
"11408","tia carrere","brett parker",61656
"11409","sérigne m baye","denis thybaud",61658
"11410","erkan duygu","guy debord",61662
"11411","amira casar","stéphane giusti",61663
"11412","dorothy provine","william witney",61669
"11413","donald reignoux","zep",61672
"11414","david tennant","mika kaurismäki",61675
"11415","ryo nishikido","yoshihiro nakamura",61682
"11416","jeanne goupil","joël séria",61683
"11417","morjana alaoui","laïla marrakchi",61686
"11418","chantal contouri","rod hardy",61689
"11419",NA,"yoav shamir",61699
"11420","ken clark","david bradley",61702
"11421","otis redding","d a pennebaker",61708
"11422","brigitte bardot","henri georges clouzot",61711
"11423","trent haaga","john lechago",61716
"11424","curt doussett","michael flynn",61719
"11425",NA,"scott owen moore",61724
"11426","cristin milioti","sook yin lee",61730
"11427","katarina witt","danny huston",61736
"11428","leonard mann","ferdinando baldi",61738
"11429","kim van kooten","lodewijk crijns",61751
"11430","theresa randle","spike lee",61752
"11431","ellen burstyn","bill couturié",61777
"11432","paul ahmarani","philippe falardeau",61783
"11433","alberto sordi","luigi zampa",61799
"11434","<U+044D><U+0440><U+0438><U+043A><U+0430> <U+044D><U+043B><U+0435><U+043D><U+0438><U+0430><U+043A>","brian katkin",61803
"11435","patsy kensit","rené bonnière",61813
"11436","emmanuelle devos","frédéric fonteyne",61814
"11437","habbas alijome","hana makhmalbaf",61820
"11438","ugo tognazzi","marco ferreri",61823
"11439","maurizio arena","dino risi",61829
"11440","gérard rinaldi","claude zidi",61852
"11441","gary gray","harold f kress",61855
"11442","elizabeth taylor","fred m wilcox",61856
"11443","dee wallace","fred olen ray",61863
"11444","caterina scorsone","nick willing",61872
"11445","james stewart","anthony mann",61880
"11446","eri fukatsu","lee sang il",61888
"11447","jamie campbell bower","roland emmerich",61891
"11448",NA,"ron davis",61895
"11449","morgan freeman","paul saltzman",61896
"11450","jeffrey evan thomas","antoine charreyron",61901
"11451","john payne","byron haskin",61903
"11452","barbara anne constable","h tjut djalil",61904
"11453","scott brady","crane wilbur",61908
"11454",NA,"luciano salce",61911
"11455","molly malcolm","cosima dannoritzer",61933
"11456","veerle baetens","jan verheyen",61935
"11457","marieta severo","aluizio abranches",61939
"11458","luca argentero","giambattista avellino",61940
"11459","jacqueline bisset","john irvin",61950
"11460","sasha mitchell","spiro razatos",61954
"11461","andrey merzlikin","anton sivers",61966
"11462","maría valverde","fernando gonzález molina",61979
"11463","hiroyuki ikeuchi","takashi yamazaki",61984
"11464","charlotte gainsbourg","claude miller",61991
