"","Actor","Director","id"
"313","steve mcqueen","norman jewison",912
"314","charlie chaplin","charlie chaplin",914
"315","nargis","mehboob khan",917
"316","kim basinger","blake edwards",918
"317","tim allen","dean parisot",926
"318","matthew broderick","roland emmerich",929
"319","hildegard knef","wolfgang staudte",932
"320","peter sellers","stanley kubrick",935
"321","david niven","blake edwards",936
"322","margaret lockwood","alfred hitchcock",940
"323","mel gibson","richard donner",941
"324","mel gibson","richard donner",944
"325","al pacino","michael mann",949
"326","ray romano","carlos saldanha",950
"327","tom cruise","brian de palma",954
"328","charlie chaplin","charlie chaplin",962
"329","humphrey bogart","john huston",963
"330","yul brynner","john sturges",966
"331","kirk douglas","stanley kubrick",967
"332","al pacino","sidney lumet",968
"333","kirk douglas","stanley kubrick",975
"334","matahi","f w murnau",977
"335","brad pitt","jean jacques annaud",978
"336","monica bellucci","gaspar noé",979
"337","katharine hepburn","george cukor",981
"338","clint eastwood","don siegel",984
"339","paul newman","robert rossen",990
"340","8635","buster keaton",992
"341","dustin hoffman","sam peckinpah",994
"342","jodie foster","jon amiel",1049
"343","zhu xu","zhang yang",1050
"344","david hemmings","michelangelo antonioni",1052
"345","richard gere","jim mcbride",1058
"346","keisha castle hughes","niki caro",1088
"347","craig bierko","josef rusnak",1090
"348","hallie kate eisenberg","nadia tass",1163
"349","anthony hopkins","james ivory",1245
"350","ken watanabe","clint eastwood",1251
"351","diane keaton","michael lehmann",1257
"352","tom selleck","stephen j anderson",1267
"353","oliver kalkofe","cyrill boss",1269
"354","chris evans","kevin munroe",1273
"355","santiago segura","santiago segura",1283
"356","stephen hawking","errol morris",1358
"357","paz vega","julio médem",1364
"358","sylvester stallone","sylvester stallone",1367
"359","sylvester stallone","ted kotcheff",1368
"360","sylvester stallone","george p cosmatos",1369
"361","sylvester stallone","peter macdonald",1370
"362","sylvester stallone","sylvester stallone",1371
"363","sylvester stallone","sylvester stallone",1374
"364","sylvester stallone","john g avildsen",1375
"365","janne hyytiäinen","aki kaurismäki",1379
"366","zana briski","zana briski",1392
"367","margarita terekhova","andrei tarkovsky",1396
"368","aleksandr kaydanovskiy","andrei tarkovsky",1398
"369","james garner","ralph nelson",1403
"370","billy crystal","ron underwood",1406
"371","andie macdowell","steven soderbergh",1412
"372","jeremy irons","david cronenberg",1413
"373","najwa nimri","julio médem",1414
"374","oliver pocher","tobi baumann",1419
"375","antonio banderas","robert rodriguez",1428
"376","michael moore","michael moore",1430
"377","eduardo noriega","guillermo del toro",1433
"378","morgan freeman","bruce beresford",1441
"379","embeth davidtz","phil morrison",1444
"380","jude law","po chih leong",1448
"381","charlton heston","orson welles",1480
"382","götz george","romuald karmakar",1484
"383","michael caine","mike hodges",1485
"384","sandra bullock","donald petrie",1493
"385","paige turco","michael pressman",1497
"386","paige turco","stuart gillard",1499
"387","robert redford","tony scott",1535
"388","susan sarandon","ridley scott",1541
"389","ron livingston","mike judge",1542
"390","jason patric","joel schumacher",1547
"391","thora birch","terry zwigoff",1548
"392","osman elkharraz","abdellatif kechiche",1549
"393","katie holmes","peter hedges",1550
"394","kiefer sutherland","joel schumacher",1551
"395","tom waits","jim jarmusch",1554
"396","romain duris","cédric klapisch",1555
"397","florence delay","chris marker",1563
"398","philippe nahon","gaspar noé",1567
"399","milla jovovich","paul w s anderson",1576
"400","robert de niro","martin scorsese",1578
"401","james stewart","alfred hitchcock",1580
"402","jack black","richard linklater",1584
"403","james stewart","frank capra",1585
"404","johnny depp","lasse hallström",1587
"405","kirsten dunst","peyton reed",1588
"406","ed harris","agnieszka holland",1590
"407","juliane köhler","caroline link",1591
"408","james blicq","michelle maclaren",1596
"409","ben stiller","jay roach",1597
"410","irène jacob","krzysztof kieslowski",1600
"411","robert de niro","robert de niro",1607
"412","sean bean","maria giese",1608
"413","louis klamroth","sönke wortmann",1611
"414","florian simbeck","axel sand",1615
"415","stefan lust","michael karen",1616
"416","stephen rea","brian gibson",1618
"417","benicio del toro","christopher mcquarrie",1619
"418","eddie murphy","john landis",1621
"419","woody harrelson","miloš forman",1630
"420","gene hackman","alan parker",1632
"421","kathy bates","jon avnet",1633
"422","elizabeth hurley","harold ramis",1636
"423","keanu reeves","jan de bont",1637
"424","matthew mcconaughey","joel schumacher",1645
"425","al pacino","roger donaldson",1647
"426","keanu reeves","peter hewitt",1649
"427","lee marvin","robert aldrich",1654
"428","eric geleynse","eric steel",1666
"429","jean paul belmondo","georges lautner",1672
"430","jacqueline bisset","françois truffaut",1675
"431","akira takarada","ishirô honda",1678
"432","tadao takashima","ishirô honda",1680
"433","akira takarada","ishirô honda",1682
"434","hilary swank","stephen hopkins",1683
"435","james franciscus","ted post",1685
"436","brigid berlin","andy warhol",1686
"437","roddy mcdowall","don taylor",1687
"438","keanu reeves","bernardo bertolucci",1689
"439","franka potente","stefan ruzowitzky",1698
"440","nicolas cage","simon west",1701
"441","ely pouget","stephen norrington",1702
"442","tobey maguire","lasse hallström",1715
"443","catherine deneuve","françois truffaut",1716
"444","natalie wood","jerome robbins",1725
"445","ashley judd","sandra nettelbeck",1731
"446","walter huston","frank capra",1773
"447","michael moore","michael moore",1774
"448","john candy","michael moore",1775
"449","becky fischer","heidi ewing",1776
"450","robert de niro","michael moore",1777
"451","paul hough","paul hough",1778
"452","michael moore","michael moore",1779
"453","alex frost","gus van sant",1807
"454","james van der beek","roger avary",1809
"455","marlon brando","elia kazan",1810
"456","tori spelling","jim fall",1812
"457","michael douglas","richard attenborough",1816
"458","madonna","john schlesinger",1831
"459","ben affleck","kevin smith",1832
"460","marina de van","marina de van",1836
"461","anne coesens","virginie wagon",1837
"462","bent mejding","niels arden oplev",1838
"463","vern stierman","charles b pierce",1842
"464","sean connery","jon amiel",1844
"465","jim carrey","miloš forman",1850
"466","henry darger","jessica yu",1853
"467","judd nelson","nelson shin",1857
"468","19549","ernst lubitsch",1859
"469","patricia arquette","john boorman",1873
"470","johnny depp","terry gilliam",1878
"471","denzel washington","spike lee",1883
"472","ralph macchio","john g avildsen",1885
"473","william hurt","randa haines",1890
"474","mark hamill","richard marquand",1892
"475","ewan mcgregor","george lucas",1894
"476","michael douglas","steven soderbergh",1900
"477","renate krößner","wolfgang kohlhaase",1906
"478","spencer tracy","stanley kramer",1908
"479","johnny depp","jeremy leven",1909
"480","ronit elkabetz","keren yedaya",1918
"481","marianne faithfull","sam garbarski",1922
"482","sheryl lee","david lynch",1923
"483","eric bana","ang lee",1927
"484","columbus short","sylvain white",1931
"485","robert mitchum","otto preminger",1936
"486","jean seberg","otto preminger",1937
"487","robert mitchum","otto preminger",1938
"488","gene tierney","otto preminger",1939
"489","sidney poitier","otto preminger",1940
"490","laurence olivier","otto preminger",1942
"491","anthony hopkins","david lynch",1955
"492","rachel weisz","beeban kidron",1959
"493","bruce campbell","bruce campbell",1961
"494","matthew perry","andy tennant",1968
"495","marlene dietrich","alfred hitchcock",1978
"496","angelina jolie","michael winterbottom",1988
"497","angelina jolie","jan de bont",1996
"498","isabelle carré","bertrand tavernier",1998
"499","klaus kinski","werner herzog",2000
"500","whoopi goldberg","emile ardolino",2005
"501","jean claude van damme","john woo",2019
"502","chris o donnell","gary sinyor",2020
"503","mel gibson","roland emmerich",2024
"504","john cusack","cameron crowe",2028
"505","matthew broderick","matthew broderick",2033
"506","cate blanchett","sam raimi",2046
"507","richard dreyfuss","stephen herek",2054
"508","kevin costner","kevin costner",2055
"509","angelina jolie","michael cristofer",2057
"510","meg ryan","griffin dunne",2058
"511","bruce willis","jonathan lynn",2069
"512","tom berenger","wolfgang petersen",2071
"513","michael dudikoff","robert lee",2072
"514","ben stiller","david o russell",2074
"515","jack nicholson","john huston",2075
"516","charlie chaplin","charlie chaplin",2078
"517","charlie chaplin","charlie chaplin",2079
"518","nicole kidman","jez butterworth",2084
"519","jet li","andrzej bartkowiak",2085
"520","johnny depp","john badham",2086
"521","alec baldwin","roger donaldson",2087
"522","gary oldman","peter medak",2088
"523","tom berenger","guy manos",2089
"524","huub stapel","dick maas",2093
"525","elvis presley","john rich",2094
"526","tamio kawaji","haruyasu noguchi",2097
"527","jo prestia","hervé renoh",2104
"528","jackie chan","brett ratner",2109
"529","donald sutherland","hironobu sakaguchi",2114
"530","michael j fox","paul schrader",2115
"531","george clooney","wolfgang petersen",2133
"532","rod taylor","george pal",2134
"533","jet li","chris nahon",2140
"534","sylvester stallone","james mangold",2142
"535","robert carlyle","ken loach",2143
"536","matt dillon","harald zwart",2144
"537","natalie maines","cecilia peck",2152
"538","robert sampson","d j webster",2154
"539","ben affleck","john frankenheimer",2155
"540","gary oldman","stephen hopkins",2157
"541","walter pidgeon","irwin allen",2160
"542","cuba gooding jr","hugh johnson",2162
"543","kurt russell","jonathan mostow",2163
"544","wesley snipes","kari skogland",2165
"545","sam neill","malcolm mowbray",2166
"546","teresa palmer","murali k thalluri",2168
"547","leelee sobieski","daniel sackheim",2176
"548","helena bergström","colin nutley",2180
"549","david miller","john de bello",2182
"550","bruce campbell","sam raimi",2186
"551","betsy russell","herb freed",2189
"552","matthew macfadyen","frank oz",2196
"553","vlastimil brodský","frank beyer",2200
"554","maria schrader","max färberböck",2211
"555","alec baldwin","harold becker",2246
"556","richard gere","adrian lyne",2251
"557","naomi watts","david cronenberg",2252
"558","meryl streep","bille august",2259
"559","arnold friedman","andrew jarecki",2260
"560","jessica lange","costa gavras",2263
"561","barbara sukowa","rainer werner fassbinder",2264
"562","steve buscemi","isabel coixet",2266
"563","konstantin khabenskiy","timur bekmambetov",2269
"564","tom hanks","penny marshall",2280
"565","christopher toler","david lachapelle",2287
"566","michael jordan","joe pytka",2300
"567","leo fuchs","barry levinson",2302
"568","william baldwin","joshua brand",2307
"569","jason statham","uwe boll",2312
"570","robert redford","phil alden robinson",2322
"571","kevin costner","phil alden robinson",2323
"572","armin mueller stahl","george gallo",2324
"573","jeremy sisto","roger young",2331
"574","patricia arquette","leonard nimoy",2348
"575","yul brynner","michael crichton",2362
"576","tchéky karyo","jean jacques annaud",2383
"577","max von sydow","george stevens",2428
"578","emma suárez","julio médem",2441
"579","sam elliott","roger christian",2442
"580","mickey rourke","simon wincer",2453
"581","25154","marcel carné",2457
"582","louis de funès","édouard molinaro",2462
"583","lau ching wan","johnnie to",2463
"584","victoria abril","pedro almodóvar",2469
"585","cary elwes","rob reiner",2493
"586","michael parks","john huston",2525
"587","isabelle huppert","claude chabrol",2528
"588","adam sandler","james l brooks",2539
"589","pierce brosnan","john boorman",2575
"590","tim robbins","michael winterbottom",2577
"591","tom cruise","oliver stone",2604
"592","steve martin","john hughes",2609
"593","tom hanks","ron howard",2619
"594","david duchovny","bonnie hunt",2621
"595","richard gere","mike figgis",2625
"596","sylvester stallone","luis llosa",2636
"597","winona ryder","michael lehmann",2640
"598","sandra bullock","marc lawrence",2642
"599","harrison ford","robert zemeckis",2655
"600","tobey maguire","gary ross",2657
"601","sid haig","rob zombie",2662
"602","robert hays","ken finkleman",2665
"603","rufus sewell","alex proyas",2666
"604","michael c williams","daniel myrick",2667
"605","mel gibson","roger donaldson",2669
"606","nanako matsushima","hideo nakata",2671
"607","chevy chase","john carpenter",2687
"608","yves montand","costa gavras",2721
"609","zack ward","uwe boll",2728
"610","catherine deneuve","régis wargnier",2731
"611","peter weller","david cronenberg",2742
"612","robert de niro","john herzfeld",2749
"613","jack nicholson","alexander payne",2755
"614","raúl juliá","barry sonnenfeld",2758
"615","27915","alfred hitchcock",2760
"616","john gielgud","alfred hitchcock",2761
"617","nova pilbeam","alfred hitchcock",2762
"618","antonie kamerling","jean van de velde",2764
"619","gene kelly","vincente minnelli",2769
"620","vin diesel","david twohy",2787
"621","winona ryder","ben stiller",2788
"622","vin diesel","peter chung",2791
"623","pierre arditi","alain resnais",2817
"624","ashton kutcher","david zucker",2830
"625","matthew modine","roger spottiswoode",2887
"626","andré hazes","john appel",2890
"627","kerry fox","jane campion",2891
"628","john lynch","michael rymer",2892
"629","jean claude dreyfus","éric rohmer",2894
"630","robert duvall","robert duvall",2895
"631","jack nicholson","james l brooks",2898
"632","raúl juliá","barry sonnenfeld",2907
"633","zephi al<U+0219>ec","gottfried kolditz",2909
"634","conrad veidt","robert wiene",2974
"635","tim johnson","hank braxtan",2979
"636","bessie love","harry o hoyt",2981
"637","marlon brando","charlie chaplin",2984
"638","tippi hedren","noel marshall",2989
"639","melanie griffith","john schlesinger",2990
"640","marisa mell","lucio fulci",2993
"641","bob hoskins","stuart orme",3003
"642","sharon tate","nicolas gessner",3004
"643","anthony perkins","orson welles",3009
"644","tom tryon","otto preminger",3010
"645","audrey hepburn","terence young",3013
"646","paul massie","terence fisher",3025
"647","jean louis barrault","jean renoir",3026
"648","ian mckellen","bill condon",3033
"649","colin clive","james whale",3035
"650","blanca lewin","matías bize",3041
"651","tim ball","martin durkin",3048
"652","jim carrey","tom shadyac",3049
"653","groucho marx","leo mccarey",3063
"654","cybill shepherd","emile ardolino",3064
"655","bud abbott","charles barton",3073
"656","cedric hardwicke","erle c kenton",3074
"657","4072","roy william neill",3076
"658","basil rathbone","rowland v lee",3077
"659","clark gable","frank capra",3078
"660","james stewart","frank capra",3083
"661","barbara stanwyck","preston sturges",3086
"662","james cagney","michael curtiz",3087
"663","humphrey bogart","john huston",3090
"664","kevin kline","lawrence kasdan",3101
"665","sergey gazarov","valery todorovsky",3102
"666","peter cushing","terence fisher",3104
"667","alan ladd","george stevens",3110
"668","john wayne","john ford",3114
"669","peter cushing","terence fisher",3117
"670","joseph cotten","mel welles",3122
"671","peter cushing","freddie francis",3124
"672","j carrol naish","al adamson",3125
"673","peter cushing","terence fisher",3127
"674","anthony hopkins","joel schumacher",3132
"675","john lupton","william beaudine",3149
"676","tadao takashima","ishirô honda",3160
"677","ivory stone","william a levey",3162
"678","boris karloff","howard w koch",3164
"679","yaël abecassis","salvatore mereu",3168
"680",NA,"marv newland",3171
"681","mike judge","mike judge",3179
"682","mary peach","ian curteis",3210
"683","joan crawford","michael curtiz",3309
"684","mike bonanno","dan ollman",3396
"685","ursula andress","luigi zampa",3405
"686","yves montand","claude sautet",3426
"687","romy schneider","claude chabrol",3479
"688","christopher lee","jesús franco",3483
"689","christopher lee","jesús franco",3485
"690","peter sellers","piers haggard",3486
"691","steven seagal","geoff murphy",3512
"692","harrison ford","mike nichols",3525
"693","william powell","w s van dyke",3529
"694","matthew mcconaughey","jonathan mostow",3536
"695","eddie barth","alan parker",3537
"696","helmut berger","sergio grieco",3541
"697","marianne sägebrecht","percy adlon",3543
"698","elizabeth taylor","john huston",3547
"699","winona ryder","james mangold",3558
"700","lionel atwill","michael curtiz",3574
"701","lionel barrymore","harold s bucquet",3576
"702","paul hartmann","curtis bernhardt",3578
"703","angelina jolie","clint eastwood",3580
"704","sophia loren","anthony asquith",3582
"705","marcello mastroianni","robert altman",3586
"706","whoopi goldberg","norman jewison",3587
"707","jennifer love hewitt","jim gillespie",3597
"708","ronald colman","frank capra",3598
"709","jennifer love hewitt","danny cannon",3600
"710","brooke nevin","sylvain white",3602
"711","sam j jones","mike hodges",3604
"712","giuliano gemma","michele lupo",3698
"713","marisa mell","umberto lenzi",3701
"714","nobuko otowa","kaneto shindô",3763
"715","33728","kaneto shindô",3764
"716","rita hayworth","charles vidor",3767
"717","toshiro mifune","akira kurosawa",3780
"718","takashi shimura","akira kurosawa",3782
"719","michelle pfeiffer","garry marshall",3784
"720","johnny depp","tim burton",3933
"721","penny singleton","frank r strayer",3936
"722","penny singleton","frank r strayer",3937
"723","arthur lake","frank r strayer",3938
"724","penny singleton","robert sparks",3941
"725","helen hunt","nancy meyers",3981
"726","geena davis","tim burton",4011
"727","gérard depardieu","bertrand blier",4031
"728","johnny depp","jeremiah s chechik",4104
"729","joan blondell","ray enright",4112
"730","vincent croiset","andré van der hout",4134
"731","kevin kline","marco kreuzpaintner",4170
"732","ingrid bergman","alfred hitchcock",4174
"733","ingrid bergman","alfred hitchcock",4175
"734","charles denner","alain jessua",4182
"735","peter ustinov","guy hamilton",4193
"736","carmen maura","pedro almodóvar",4203
"737","klaus maria brandauer","robert enrico",4228
"738","david arquette","wes craven",4234
