"","original_title","id","release_date","revenue","budget","runtime","animation","comedy","family","adventure","fantasy","drama","romance","action","crime","thriller","history","mystery","music","horror","war","documentary","western","scifi","Actor","Director","actorMovieCount","directorMovieCount","directorEarnings","domestic","quarter","success_1_to_1"
"65","‡ï‡‡‡‡",366080,2016-07-22,7.4e+07,18700000,150,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,"rajinikanth","paranjith",0,0,0,0,"3",1
"66","‡ï‡ˇ‡ç‡‡‡‡ï‡‡‡ú‡‡‡ò‡Å‡‡‡Ä",368330,2015-11-12,4400000,1500000,162,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"shankarmahadevan","subodhbhave",0,0,0,0,"4",1
"67","‡â‡ú‡‡‡‡Ç‡ú‡‡",398535,2016-06-17,14900000,5980000,149,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,"shahidkapoor","abhishekchaubey",0,0,0,0,"2",1
"68","ÂèòËÑ",25471,1997-12-20,1,24078133.8007948,91,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"zhuxu","wutianming",0,0,0,0,"4",0
"69","ÂçÅ‰â‰„ÅÂàÂ",58857,2010-09-09,17555141,6e+06,141,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,"kojiyakusho","takashimiike",0,1,12756,0,"3",1
"70","„Åù„Åó„ÅÁà„Å„Å„Çã",177945,2013-09-28,19978961,24078133.8007948,121,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"masaharufukuyama","hirokazukoreeda",0,0,0,0,"3",0
"71","„Åù„ÅÁî„ÄÅÂáÊö„Å„Å„Åç",12622,1989-08-12,1960,24078133.8007948,103,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,"takeshikitano","takeshikitano",0,0,0,0,"3",0
"72","ÂùèËõãÂÖÈÊ",375599,2015-11-27,5000,24078133.8007948,104,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"sonyejin","sunhao",0,0,0,0,"4",0
"73","ÂçÅÈùÂˇã‰è",9550,2004-05-19,92863945,24078133.8007948,119,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,"takeshikaneshiro","zhangyimou",0,2,99063759,0,"2",1
"74","ÂèÊó‰",209049,2013-06-27,79,24078133.8007948,116,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"yangmi","jingmingguo",1,1,47,0,"2",0
"75","ÂèÊó‰2ÔöÈùíÊúÊó‰",211711,2013-08-07,47,24078133.8007948,116,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"yangmi","jingmingguo",0,0,0,0,"3",0
"76","ÂçÉ„ÅÂçÉÂã„ÅÁûÈö†„Åó",129,2001-07-20,274925095,1.5e+07,125,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"rumihiiragi","hayaomiyazaki",0,1,187479518,0,"3",1
"77","ÂçÉÈáúËÂçïÈë",14226,2005-12-22,3752325,7500000,107,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"kentakakura","zhangyimou",0,1,95311434,0,"4",0
"78","ÂèúÈô‰ö",18764,1992-01-15,8359717,1e+07,89,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"jackiechan","tsuihark",9,4,132336594,0,"1",0
"79","‡‡à‡‡Ä‡ï‡ã‡",284288,2014-09-05,15536328,224056,122,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"priyankachopra","omungkumar",0,0,0,0,"3",1
"80","‡‡à‡‡‡",411717,2017-01-12,1.7e+07,24078133.8007948,168,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"vijay","bharathan",0,0,0,0,"1",0
"81","‡‡Ç‡ó‡",360814,2016-12-23,3.1e+08,10400000,161,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"aamirkhan","niteshtiwari",0,0,0,0,"4",1
"82","‡‡Ç‡‡‡‡",219343,2013-10-19,170000,79000,136,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,"sathishninasam","pawankumar",0,0,0,0,"4",1
"83","‡‡ã‡‡Ç",338930,2015-08-20,2250547,1050255,129,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,"mohanlal","ranjith",0,0,0,0,"3",1
"84","‡‡Ä‡‡",69401,2001-01-14,5e+05,5e+05,157,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,"ajithkumar","armurugadoss",3,0,0,0,"1",0
"85","‡‡Ä‡‡‡ç",247504,2014-01-10,1.9e+07,5900000,161,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,"ajithkumar","siva",1,0,0,0,"1",1
"86","‡‡Ä‡‡‡ç",55283,2010-02-19,1458709,24078133.8007948,172,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"ranadaggubati","sekharkammula",0,0,0,0,"1",0
"87","‰ÂÜçÂõÈÄî‰ãÊÂõ",151743,2012-12-12,2.08e+08,2200000,105,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"wangbaoqiang","xuzheng",0,0,0,0,"4",1
"88","‡‡á‡Ñ‡ú‡ö‡‡Å3",43209,2010-05-05,2340363,24078133.8007948,95,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,"tonyjaa","tonyjaa",1,0,0,0,"2",0
"89","‡‡Å‡ï‡‡‡",69404,2000-02-02,5e+05,5e+05,157,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"ajithkumar","vzdurai",4,0,0,0,"1",0
"90","‡‡ç‡‡á‡‡Ç",341895,2015-05-29,1.1e+07,6200000,165,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,"nivinpauly","alphonseputharen",1,0,0,0,"2",1
"91","‡‡Å‡‡‡ç‡‡‡ç",66526,1999-11-07,2.2e+07,7400000,169,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"arjunsarja","sshankar",0,0,0,0,"4",1
"92","‡‡ç‡‡‡‡Ä‡‡á‡‡ç",199160,2007-09-28,2640850,440141,160,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"varunsandesh","sekharkammula",0,1,1458709,0,"3",1
"93","‡‡‡ó‡‡‡",39839,2003-01-01,1100000,24078133.8007948,183,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"amitabhbachchan","ravichopra",1,0,0,0,"1",0
"94","‡‡‡Ç‡ˇ‡á‡",22717,2009-09-18,134,75,129,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,"salmankhan","prabhudeva",2,1,3.1e+07,0,"3",1
"95","‡‡‡â‡‡Ä‡‡‡†‡ú‡",102632,2012-06-01,3.1e+07,6700000,143,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"akshaykumar","prabhudeva",2,0,0,0,"2",1
"96","‡‡‡‡Å‡‡ú‡‡‡ã‡‡‡‡",83902,2002-05-09,6100000,350000,151,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"saifalikhan","arjunsablok",0,0,0,0,"2",1
"97","‡‡‡‡‡‡ò‡‡‡",393562,2016-06-24,1013926,521873,127,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,"nawazuddinsiddiqui","anuragkashyap",0,0,0,0,"2",1
"98","‡‡‡‡‡‡Å‡",323517,2015-02-20,11480000,3700000,128,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,"varundhawan","sriramraghavan",0,0,0,0,"1",1
"99","aadukalam",68016,2011-01-14,6e+06,4e+06,160,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,"dhanush","vetrimaran",0,0,0,0,"1",1
"100","ÂÊÂö",187022,2013-10-04,154120,24078133.8007948,133,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"jiangwu","jiazhangke",0,0,0,0,"4",0
"101","aanrijdinginmoscou",13646,2008-01-30,1500000,560000,102,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"barbarasarafian","christophevanrompaey",0,0,0,0,"1",1
"102","‚aycarmela",41806,1990-03-16,2e+06,24078133.8007948,102,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,"carmenmaura","carlossaura",0,0,0,0,"1",0
"103","abandon",15992,2002-10-14,10719357,2.5e+07,99,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,"katieholmes","stephengaghan",1,0,0,1,"4",0
