"","original_title","id","release_date","revenue","budget","runtime","animation","comedy","family","adventure","fantasy","drama","romance","action","crime","thriller","history","mystery","music","horror","war","documentary","western","scifi","Actor","Director","actorMovieCount","directorMovieCount","directorEarnings","domestic","quarter","success_1_to_1"
"1394","kissofthedragon",2140,2001-07-06,64437847,2.5e+07,98,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,"jetli","chrisnahon",1,0,0,1,"3",1
"1395","knockaroundguys",7501,2001-09-07,1.2e+07,1.5e+07,92,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,"barrypepper","briankoppelman",0,0,0,1,"3",0
"1396","kokow„„h",53174,2011-02-02,4.3e+07,5650000,123,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"tilschweiger","tilschweiger",0,0,0,0,"1",1
"1397","koyaanisqatsi",11314,1982-06-06,1723872,24078133.8007948,87,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,"loudobbs","godfreyreggio",0,0,0,0,"2",0
"1398","kpax",167,2001-10-22,50315140,4.8e+07,120,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,"jeffbridges","iainsoftley",4,0,0,1,"4",1
"1399","kramervskramer",12102,1979-12-18,106260000,8e+06,105,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"dustinhoffman","robertbenton",4,1,5669831,0,"4",1
"1400","krampus",287903,2015-11-26,61548707,1.5e+07,98,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,"adamscott","michaeldougherty",0,0,0,1,"4",1
"1401","krazzy4",20832,2008-04-11,8e+06,24078133.8007948,116,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"arshadwarsi","jaideepsen",0,0,0,0,"2",0
"1402","krisha",323929,2016-03-18,140779,24078133.8007948,81,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"krishafairchild","treyedwardshults",0,0,0,1,"1",0
"1403","kuboandthetwostrings",313297,2016-08-18,69929545,6e+07,102,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"artparkinson","travisknight",0,0,0,1,"3",1
"1404","kundun",9746,1997-12-25,5684789,2.8e+07,134,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"tenzinthuthobtsarong","martinscorsese",0,0,0,1,"4",0
"1405","kungfupanda3",140300,2016-01-23,521170825,1.45e+08,95,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"jackblack","jenniferyuhnelson",0,0,0,1,"1",1
"1406","labelleetlab„te",197796,2014-02-12,49100000,3.3e+07,112,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,"vincentcassel","christophegans",1,0,0,0,"1",1
"1407","laborday",130150,2013-12-27,20275812,1.8e+07,111,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"joshbrolin","jasonreitman",0,0,0,1,"4",1
"1408","labyrinth",13597,1986-06-27,12729917,2.5e+07,101,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"davidbowie","jimhenson",0,0,0,0,"2",0
"1409","lacageauxfollesii",11684,1980-12-10,6950125,24078133.8007948,101,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ugotognazzi","Èdouardmolinaro",0,0,0,0,"4",0
"1410","lacit„desenfantsperdus",902,1995-05-16,1738611,1.8e+07,108,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,"ronperlman","jeanpierrejeunet",0,3,185494789,0,"2",0
"1411","ladoppiaora",42571,2009-10-09,4300000,3906840,95,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,"kseniyarappoport","giuseppecapotondi",0,0,0,0,"4",1
"1412","ladoubleviedev„ronique",1600,1991-05-15,1999955,24078133.8007948,97,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,"irËnejacob","krzysztofkieslowski",0,0,0,0,"2",0
"1413","ladoublure",21427,2006-03-29,29326868,24078133.8007948,85,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"gadelmaleh","francisveber",0,0,0,0,"1",1
"1414","ladr„nquerobaaladr„n",38140,2007-08-31,6,4002313,98,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"fernandocolunga","joemenendez",0,0,0,0,"3",0
"1415","ladridibiciclette",5156,1948-11-24,361712,133000,93,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"lambertomaggiorani","vittoriodesica",0,0,0,0,"4",1
"1416","ladyhawke",526,1985-03-27,18432000,2e+07,121,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,"matthewbroderick","richarddonner",2,6,678376617,1,"1",0
"1417","ladykillers",44181,2003-06-15,527000,24078133.8007948,90,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"willfriedle","garypreisler",0,0,0,0,"2",0
"1418","laestanqueradevallecas",111708,1987-04-09,312010,24078133.8007948,106,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"emmapenella","eloydelaiglesia",0,0,0,0,"2",0
"1419","l„gedor",5729,1930-10-28,7940,24078133.8007948,63,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"gastonmodot","luisbuÒuel",0,0,0,0,"4",0
"1420","laggies",244264,2014-09-25,1066981,24078133.8007948,100,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"keiraknightley","lynnshelton",0,0,0,0,"3",0
"1421","laguerredufeu",62204,1981-12-15,55260558,1.2e+07,100,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"everettmcgill","jeanjacquesannaud",0,3,392904328,1,"4",1
"1422","laislam„nima",236735,2014-09-25,5169755,4e+06,105,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,"ra˙larÈvalo","albertorodrÌguez",0,1,2387127,0,"3",1
"1423","laitakaupunginvalot",1379,2006-02-03,1615018,1380000,78,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,"jannehyyti‰inen","akikaurism‰ki",0,0,0,0,"1",1
"1424","lakeoffire",44260,2006-09-09,25,24078133.8007948,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"noamchomsky","tonykaye",1,0,0,1,"3",0
"1425","lakeplacid",9825,1999-07-15,56870414,2.7e+07,82,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,"billpullman","steveminer",0,0,0,1,"3",1
"1426","lalaland",313369,2016-11-29,445435700,3e+07,128,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,"ryangosling","damienchazelle",0,0,0,1,"4",1
"1427","lalenguadelasmariposas",31023,1999-09-24,6e+06,3e+06,96,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"fernandofern·ngÛmez","josÈluiscuerda",0,0,0,0,"3",1
"1428","lanuitam„ricaine",1675,1973-05-24,17808,24078133.8007948,115,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"jacquelinebisset","franÁoistruffaut",0,0,0,0,"2",0
"1429","l„on",101,1994-09-14,45284974,1.6e+07,110,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,"jeanreno","lucbesson",0,4,328274935,0,"3",1
"1430","lapasi„nturca",60985,1994-11-18,3777141,24078133.8007948,112,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"anabelÈn","vicentearanda",0,0,0,0,"4",0
"1431","lapeggiorsettimanadellamiavita",77944,2011-10-27,12935800,1.1e+07,107.440816326531,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"fabiodeluigi","alessandrogenovesi",0,1,10703234,0,"4",1
"1432","laracrofttombraiderthecradleoflife",1996,2003-07-21,156505388,9.5e+07,117,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,"angelinajolie","jandebont",2,0,0,1,"3",1
"1433","lasciencedesr„ves",300,2006-02-11,9524340,6e+06,105,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"gaelgarcÌabernal","michelgondry",1,1,227817248,0,"1",1
"1434","lassiter",56821,1984-02-17,17500000,24078133.8007948,100,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,"tomselleck","rogeryoung",2,1,2228951,0,"1",0
"1435","lastdance",46063,1996-05-02,5,24078133.8007948,103,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,"sharonstone","bruceberesford",0,4,204650105,0,"2",0
"1436","lastknights",308504,2015-04-03,3643591,24078133.8007948,115,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"cliveowen","kazuakikiriya",0,0,0,0,"2",0
"1437","lastmanstanding",9333,1996-09-20,47267001,6.7e+07,101,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,"brucewillis","walterhill",2,1,14828081,1,"3",0
"1438","lastrat„giedelapoussette",152989,2012-11-10,3462,24078133.8007948,90,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"raphaÎlpersonnaz","clÈmentmichel",1,0,0,0,"4",0
"1439","laterzamadre",15206,2007-09-06,54947,3500000,102,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"asiaargento","darioargento",0,0,0,0,"3",0
"1440","latortuerouge",337703,2016-06-29,921974,24078133.8007948,80,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"emmanuelgarijo","michaeldudokdewit",0,0,0,1,"2",0
"1441","l„trangecouleurdeslarmesdetoncorps",208284,2013-08-12,7182,24078133.8007948,102,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,"klaustange","hÈlËnecattet",0,0,0,0,"3",0
"1442","latterdays",15708,2003-07-10,819939,850000,107,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"stevesandvoss","cjaycox",0,0,0,1,"3",0
"1443","laubergeespagnole",1555,2002-05-17,3897799,5300000,122,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"romainduris","cÈdricklapisch",0,0,0,1,"2",0
"1444","laura",1939,1944-10-11,2e+06,1020000,88,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,"genetierney","ottopreminger",0,0,0,0,"4",1
"1445","lawnmowerman2beyondcyberspace",11525,1996-01-12,2409225,24078133.8007948,92,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,"patrickbergin","farhadmann",0,0,0,0,"1",0
"1446","laythefavorite",84305,2012-06-22,1576687,26350000,94,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"rebeccahall","stephenfrears",0,2,103416320,0,"2",0
"1447","lchangetheworld",20329,2008-01-31,30231200,24078133.8007948,129,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,"shunjifujimura","hideonakata",0,0,0,0,"1",1
"1448","learningtodrive",284286,2014-08-21,3447633,24078133.8007948,105,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"patriciaclarkson","isabelcoixet",0,0,0,0,"3",0
"1449","leatherheads",4942,2008-03-24,41299492,5.8e+07,114,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"georgeclooney","georgeclooney",1,0,0,1,"1",0
"1450","led„nerdecons",9421,1998-04-15,78599508,12500000,80,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"thierrylhermitte","francisveber",0,1,29326868,0,"2",1
"1451","lederniersouffle",285908,1999-03-25,559298,3800000,107.440816326531,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,"lucpicard","richardciupka",0,0,0,0,"1",0
"1452","leftbehind",218043,2014-10-03,19682924,1.6e+07,110,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,"nicolascage","vicarmstrong",0,0,0,1,"4",1
"1454","leftluggage",53119,1998-03-30,100544,24078133.8007948,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"laurafraser","jeroenkrabbÈ",0,0,0,0,"1",0
"1455","legallyblonde",8835,2001-07-13,141774679,1.8e+07,96,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"reesewitherspoon","robertluketic",3,1,16980098,1,"3",1
"1456","legendoftheguardianstheowlsofgahoole",41216,2010-07-10,140073390,8e+07,97,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"emilybarclay","zacksnyder",0,1,662845518,1,"3",1
"1457","legendsofozdorothysreturn",59981,2013-06-13,18662027,7e+07,88,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"leamichele","danstpierre",0,0,0,0,"2",0
"1458","lennybrucesweartotellthetruth",103162,1998-10-21,21350,24078133.8007948,100,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"robertdeniro","robertbweide",5,0,0,0,"4",0
"1459","lenottidicabiria",19426,1957-10-03,752045,24078133.8007948,110,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"giuliettamasina","federicofellini",0,0,0,0,"4",0
"1460","lepactedesloups",6312,2001-01-31,70752904,2.9e+07,137,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,"samuellebihan","christophegans",0,1,49100000,0,"1",1
"1461","lepass„",152780,2013-05-17,10631747,1.1e+07,130,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,"bÈrÈnicebejo","asgharfarhadi",0,0,0,0,"2",0
"1462","lepel",21751,2005-02-02,1589109,24078133.8007948,96,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"joeptruijen","willemvandesandebakhuyzen",0,0,0,0,"1",0
"1463","leplusvieuxm„tierdumonde",103613,1967-04-21,119,24078133.8007948,119,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"michËlemercier","jeanlucgodard",0,0,0,0,"2",0
"1464","ler„gnedelabeaut„",271826,2014-05-15,40000,24078133.8007948,102,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Èricbruneau","denysarcand",0,0,0,0,"2",0
"1465","leseldelaterre",265297,2014-09-27,1059804,24078133.8007948,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"julianoribeirosalgado","wimwenders",0,1,8034,0,"3",0
"1466","leska„ra",123229,2012-07-11,103504,24078133.8007948,98,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ramzybedia","franckgastambide",0,0,0,0,"3",0
"1467","lesmis„rables",4415,1998-05-01,14096321,24078133.8007948,134,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,"liamneeson","billeaugust",4,0,0,0,"2",0
"1468","lestriplettesdebelleville",9662,2003-06-11,1477676,8e+06,80,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"bÈatricebonifassi","sylvainchomet",0,0,0,1,"2",0
"1469","letableau",98162,2011-11-22,11229,24078133.8007948,76,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"jeanbarney","jeanfranÁoislaguionie",0,0,0,0,"4",0
"1470","lethalweapon",941,1987-03-06,120207127,1.5e+07,110,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,"melgibson","richarddonner",6,4,496666272,1,"1",1
"1471","lethalweapon4",944,1998-07-10,285444603,1.4e+08,127,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,"melgibson","richarddonner",2,1,43935763,1,"3",1
"1472","lettersfromiwojima",1251,2006-12-19,68673228,1.9e+07,141,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,"kenwatanabe","clinteastwood",0,7,1000833165,1,"4",1
"1473","leviathan",14372,1989-03-17,15704614,2.5e+07,98,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,"peterweller","georgepcosmatos",0,1,2154540,0,"1",0
"1474","levity",21052,2003-03-16,209151,7500000,100,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,"billybobthornton","edsolomon",2,0,0,0,"1",0
"1475","leweekend",209350,2013-10-04,2225098,24078133.8007948,93,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"jimbroadbent","rogermichell",0,0,0,0,"4",0
"1476","lielongislandexpressway",18734,2001-01-20,1667192,7e+05,97,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"pauldano","michaelcuesta",0,1,95687,0,"1",1
"1477","life",6522,1999-04-16,73345029,8e+07,108,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"eddiemurphy","teddemme",4,0,0,1,"2",0
"1479","lifeafterbeth",244566,2014-08-15,88273,2400000,90,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,"aubreyplaza","jeffbaena",0,0,0,0,"3",0
"1480","lifeofpi",87827,2012-11-20,609016565,1.2e+08,127,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,"surajsharma","anglee",0,0,0,1,"4",1
"1481","lightsout",345911,2016-07-21,148868835,4900000,81,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,"teresapalmer","davidfsandberg",0,0,0,1,"3",1
"1482","likedandeliondust",43937,2009-02-05,352810,2500000,100,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"mirasorvino","jongunn",0,0,0,0,"1",0
"1483","likesundaylikerain",225044,2014-03-01,28208,24078133.8007948,104,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,"leightonmeester","frankwhaley",0,0,0,0,"1",0
"1484","lilostitch",11544,2002-06-21,145771527,8e+07,85,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"chrissanders","deandeblois",0,0,0,1,"2",1
"1485","limagemanquante",186997,2014-03-19,52164,24078133.8007948,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"randaldouc","rithypanh",0,0,0,0,"1",0
"1486","limbalsamatore",35265,2002-09-06,56878,24078133.8007948,101,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"ernestomahieux","matteogarrone",0,0,0,0,"3",0
"1487","lincoln",72976,2012-11-09,275293450,6.5e+07,149,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,"danieldaylewis","stevenspielberg",0,1,183345589,1,"4",1
"1488","littlebigman",11040,1970-12-14,31559552,1.5e+07,139,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,"dustinhoffman","arthurpenn",6,1,2413427,0,"4",1
"1489","littleboy",256962,2015-04-23,6485961,2e+07,106,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,"jakobsalvati","alejandromonteverde",0,0,0,1,"2",0
"1490","littlebuddha",1689,1993-12-01,4858139,3.5e+07,140,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,"keanureeves","bernardobertolucci",8,0,0,0,"4",0
"1491","littlemonsters",15138,1989-08-25,793775,7e+06,102,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"fredsavage","richardgreenberg",1,0,0,0,"3",0
"1492","littleshopofhorrors",10776,1986-12-19,38748395,2.5e+07,94,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,"rickmoranis","frankoz",1,3,105749131,1,"4",1
"1493","liveandletdie",253,1973-07-05,161777836,7e+06,121,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,"rogermoore","guyhamilton",3,5,136305902,1,"3",1
"1494","livebynight",259695,2016-12-25,22678555,1.08e+08,129,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,"benaffleck","benaffleck",0,0,0,1,"4",0
"1495","loboguerreiro",335462,2015-04-02,8e+07,1.2e+07,90,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,"wujing","wujing",0,0,0,0,"2",1
"1496","localcolor",2324,2006-09-19,32788,3250000,107,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"arminmuellerstahl","georgegallo",0,0,0,0,"3",0
"1497","locke",210479,2014-04-10,4635300,2e+06,85,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,"tomhardy","stevenknight",1,0,0,1,"2",1
"1498","lockstockandtwosmokingbarrels",100,1998-03-05,3897569,1350000,105,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"jasonflemyng","guyritchie",0,2,171914081,1,"1",1
"1499","logansrun",10803,1976-06-23,2.5e+07,9e+06,119,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,"michaelyork","michaelanderson",1,0,0,1,"2",1
"1500","lolarennt",104,1998-08-20,7267585,1530000,81,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,"frankapotente","tomtykwer",0,2,64373885,1,"3",1
"1501","lolita",802,1962-06-13,9250000,2e+06,153,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"jamesmason","stanleykubrick",0,3,80046646,1,"2",1
"1503","lonestar",26748,1996-06-21,13269963,5e+06,135,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,"chriscooper","johnsayles",0,0,0,1,"2",1
"1504","lonesurvivor",193756,2013-12-24,149295601,4e+07,121,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,"markwahlberg","peterberg",0,0,0,1,"4",1
"1505","lonewolfmcquade",14854,1983-04-14,12232628,5e+06,107,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,0,"chucknorris","stevecarver",5,1,807947,1,"2",1
"1506","look",17025,2007-10-05,16136,24078133.8007948,98,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"jamiemcshane","adamrifkin",0,0,0,0,"4",0
"1507","lookingformrgoodbar",37749,1977-10-19,22512655,24078133.8007948,135,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,"dianekeaton","richardbrooks",3,0,0,0,"4",0
"1508","lookintogetout",47878,1982-10-08,946461,1.7e+07,105,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"jonvoight","halashby",2,1,1878561,0,"4",0
"1509","lookwhostalking",9494,1989-10-12,2.96e+08,7500000,93,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"johntravolta","amyheckerling",6,0,0,0,"4",1
"1510","loslunesalsol",54580,2002-09-27,146402,4e+06,113,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"javierbardem","fernandoleÛndearanoa",0,0,0,0,"3",0
"1511","lostfound",39964,1999-04-23,100,1,95,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"davidspade","jeffpollack",1,0,0,0,"2",1
"1512","lostinspace",2157,1998-04-03,136159423,8e+07,130,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"garyoldman","stephenhopkins",0,3,87835750,1,"2",1
"1513","lostinthesun",360203,2015-11-05,25000,25000,95,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,"joshduhamel","treynelson",0,0,0,0,"4",0
"1514","lostriver",167810,2015-04-08,45431,2e+06,95,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,"christinahendricks","ryangosling",0,0,0,1,"2",0
"1515","losvioladores",81463,1981-01-01,161362,24078133.8007948,77,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,"josÈgras","paulgrau",0,0,0,0,"1",0
"1516","louderthanbombs",157827,2015-05-18,161789,1.1e+07,109,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"gabrielbyrne","joachimtrier",0,0,0,0,"2",0
"1517","louisckliveatthebeacontheater",80379,2011-12-10,1e+06,250000,62,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"louisck","louisck",0,0,0,0,"4",1
"1518","lours",2383,1988-10-21,138241022,24078133.8007948,94,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"tchÈkykaryo","jeanjacquesannaud",0,2,254663306,0,"4",1
"1519","love",292431,2015-07-06,249083,3e+06,134,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"karlglusman","gasparnoÈ",0,0,0,0,"3",0
"1520","loveanddeath",11686,1975-06-10,20173742,3e+06,85,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"woodyallen","woodyallen",6,13,470923987,1,"2",1
"1521","lovefriendship",296360,2016-05-27,14016568,3e+06,94,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"katebeckinsale","whitstillman",0,0,0,0,"2",1
"1522","lovelace",77805,2013-08-08,1585582,1e+07,92,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"amandaseyfried","robepstein",0,0,0,0,"3",0
"1523","lovelyamazing",50035,2001-08-31,4186931,250000,91,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"catherinekeener","nicoleholofcener",0,0,0,0,"3",1
"1524","lovesdeadlytrianglethetexascadetmurder",201703,1997-02-20,161001698,1.4e+07,93,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,"hollymariecombs","richardacolla",0,0,0,0,"1",1
"1525","loveslabourslost",51333,2000-03-31,299792,1.3e+07,93,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,"alessandronivola","kennethbranagh",0,1,50549107,0,"1",0
"1526","lovestory2050",20493,2008-07-04,5e+06,2e+07,171,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,"harmanbaweja","harrybaweja",0,0,0,0,"3",0
"1527","lovethecoopers",333348,2015-11-12,42426912,1.7e+07,107,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"stevemartin","jessienelson",0,0,0,1,"4",1
"1528","loving",339419,2016-11-04,8996802,9e+06,123,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"joeledgerton","jeffnichols",0,0,0,1,"4",0
"1529","lowriders",333384,2017-04-28,2403885,916000,99,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"demi·nbichir","ricardodemontreuil",0,0,0,1,"2",1
"1530","luc„ayelsexo",1364,2001-08-24,2628241,24078133.8007948,128,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"pazvega","juliomÈdem",0,1,1137421,0,"3",0
"1531","lucieaubrac",52366,1997-02-26,458557,24078133.8007948,115,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"carolebouquet","claudeberri",0,0,0,0,"1",0
"1532","luckynumberslevin",186,2006-02-24,56308881,2.7e+07,110,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,"joshhartnett","paulmcguigan",1,2,79692597,1,"1",1
"1533","lucy",240832,2014-07-14,126546825,4e+07,89,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,"scarlettjohansson","lucbesson",0,1,90024292,1,"3",1
"1534","luv",163376,1967-07-26,1e+06,24078133.8007948,93,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"jacklemmon","clivedonner",1,0,0,0,"3",0
"1535","lyubovvbolshomgorode",24686,2009-03-05,9112193,3500000,88,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"verabrezhneva","mariusbalchunas",1,1,10198357,0,"1",1
"1536","lyubovvbolshomgorode2",47812,2010-02-25,10198357,24078133.8007948,93,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"verabrezhneva","mariusbalchunas",0,0,0,0,"1",0
