"","X","budget","runtime","comedy","family","adventure","drama","history","horror","documentary","actorMovieCount","directorMovieCount","domestic","newyearsday","presidentsday","christmaseve","newyearsdayobserved","DirectorEarnings","success_1_to_1"
"127",127,24078133.8007948,105,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"128",128,4531653,100,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"129",129,24078133.8007948,144,0,0,0,1,0,0,0,0,1,0,0,0,0,0,83061158,1
"130",130,24078133.8007948,115,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"131",131,24078133.8007948,141,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"132",132,24078133.8007948,153,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"133",133,24078133.8007948,90,0,1,1,0,0,0,0,0,1,0,0,0,0,0,5e+07,1
"134",134,2e+07,126,0,0,0,0,0,0,0,2,1,0,0,0,0,0,50710400,1
"135",135,24078133.8007948,141,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"136",136,1200000,96,0,0,0,0,0,1,0,1,2,0,0,0,0,0,48917844,1
"137",137,6e+06,92,0,0,0,0,0,1,0,0,1,0,0,0,0,0,30231200,1
"138",138,24078133.8007948,106,0,0,0,1,0,0,0,0,1,0,0,0,0,0,7.7e+07,1
"139",139,1379375,108,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"140",140,6e+06,114,0,0,0,1,0,0,0,2,1,0,0,0,0,0,2062066,1
"141",141,24078133.8007948,87,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"142",142,24078133.8007948,90,0,0,0,1,1,0,0,0,2,0,0,0,0,0,3911581,0
"143",143,24078133.8007948,90,1,0,0,0,0,0,0,1,3,0,0,0,0,0,46354198,0
"144",144,24078133.8007948,89,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0
"145",145,24078133.8007948,119,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
