"","id","release_date","revenue","budget","runtime","animation","comedy","family","adventure","fantasy","drama","romance","action","crime","thriller","history","mystery","music","horror","war","documentary","western","scifi","Actor","Director","actorMovieCount","directorMovieCount","directorEarnings","domestic","quarter","success_1_to_1","numOfHolidays","newyearsday","martinlutherkingjrday","valentinesday","presidentsday","goodfriday","mothersday","memorialday","fathersday","independenceday","laborday","columbusday","veteransday","thanksgivingday","christmaseve","christmasday","independencedayobserved","christmasdayobserved","newyearsdayobserved","christmaseveobserved","veteransdayobserved","related_holiday"
"61",110552,"2013-10-23",3302463,24078133.8007948,104,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"tonyjaa","prachyapinkaew",0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"63",280690,"2014-07-25",5.5e+07,2.2e+07,146,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,"salmankhan","sajidnadiadwala",0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"64",366080,"2016-07-22",7.4e+07,18700000,150,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,"rajinikanth","paranjith",0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"65",368330,"2015-11-12",4400000,1500000,162,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"shankarmahadevan","subodhbhave",0,0,0,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"None"
"66",398535,"2016-06-17",14900000,5980000,149,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,"shahidkapoor","abhishekchaubey",0,0,0,0,2,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"67",25471,"1997-12-20",1,24078133.8007948,91,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"zhuxu","wutianming",0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"68",58857,"2010-09-09",17555141,6e+06,141,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,"kojiyakusho","takashimiike",0,1,12756,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"None"
"69",177945,"2013-09-28",19978961,24078133.8007948,121,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"masaharufukuyama","hirokazukoreeda",0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"70",12622,"1989-08-12",1960,24078133.8007948,103,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,"takeshikitano","takeshikitano",0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"71",375599,"2015-11-27",5000,24078133.8007948,104,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"sonyejin","sunhao",0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"None"
"72",9550,"2004-05-19",92863945,24078133.8007948,119,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,"takeshikaneshiro","zhangyimou",0,2,99063759,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"73",209049,"2013-06-27",79,24078133.8007948,116,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"yangmi","jingmingguo",1,1,47,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"74",211711,"2013-08-07",47,24078133.8007948,116,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"yangmi","jingmingguo",0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"75",129,"2001-07-20",274925095,1.5e+07,125,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"rumihiiragi","hayaomiyazaki",0,1,187479518,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"76",14226,"2005-12-22",3752325,7500000,107,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"kentakakura","zhangyimou",0,1,95311434,0,4,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,"None"
"77",18764,"1992-01-15",8359717,1e+07,89,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"jackiechan","tsuihark",9,4,132336594,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"78",284288,"2014-09-05",15536328,224056,122,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"priyankachopra","omungkumar",0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"80",360814,"2016-12-23",3.1e+08,10400000,161,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"aamirkhan","niteshtiwari",0,0,0,0,4,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,"None"
"81",219343,"2013-10-19",170000,79000,136,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,"sathishninasam","pawankumar",0,0,0,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"82",338930,"2015-08-20",2250547,1050255,129,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,"mohanlal","ranjith",0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"83",69401,"2001-01-14",5e+05,5e+05,157,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,"ajithkumar","armurugadoss",3,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"84",247504,"2014-01-10",1.9e+07,5900000,161,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,"ajithkumar","siva",1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"86",151743,"2012-12-12",2.08e+08,2200000,105,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"wangbaoqiang","xuzheng",0,0,0,0,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"87",43209,"2010-05-05",2340363,24078133.8007948,95,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,"tonyjaa","tonyjaa",1,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"88",69404,"2000-02-02",5e+05,5e+05,157,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"ajithkumar","vzdurai",4,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"91",199160,"2007-09-28",2640850,440141,160,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"varunsandesh","sekharkammula",0,1,1458709,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"93",22717,"2009-09-18",134,75,129,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,"salmankhan","prabhudeva",2,1,3.1e+07,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"94",102632,"2012-06-01",3.1e+07,6700000,143,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"akshaykumar","prabhudeva",2,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"95",83902,"2002-05-09",6100000,350000,151,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"saifalikhan","arjunsablok",0,0,0,0,2,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"96",393562,"2016-06-24",1013926,521873,127,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,"nawazuddinsiddiqui","anuragkashyap",0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"97",323517,"2015-02-20",11480000,3700000,128,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,"varundhawan","sriramraghavan",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"98",68016,"2011-01-14",6e+06,4e+06,160,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,"dhanush","vetrimaran",0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"99",187022,"2013-10-04",154120,24078133.8007948,133,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"jiangwu","jiazhangke",0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"100",13646,"2008-01-30",1500000,560000,102,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"barbarasarafian","christophevanrompaey",0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"101",41806,"1990-03-16",2e+06,24078133.8007948,102,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,"carmenmaura","carlossaura",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
